ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part
1;47uF;C4;1206;1;1206X476M160NT;FH;LCSC;C172351
2;IC IN OUT;H1,H2;210S-1X8P;2;210S-1*8P L=11.6MMGold-plated black;Ckmtw;LCSC;C27438
3;STM32F072C8T6;U1;LQFP-48_7X7X05P;1;STM32F072C8T6;STMicroelectronics;LCSC;C80488
4;RT9193-33GB;U2;SOT-23-5;1;RT9193-33GB;RICHTEK;LCSC;C15651
5;4.7uF;C6,C7,C11,C13,C21;0603';5;0603X475K160NT;FH;LCSC;C99229
6;20Ω;R10,R11,R24;0603';3;RS-03K20R0FT;FH;LCSC;C136605
7;SWD;SWD;DIP-1X4P-2.54MM-M;1;210S-1*4P L=11.6MMGold-plated black;Ckmtw;LCSC;C124378
8;6.8uH;L3;3015;1;HPC3015TF-6R8M;TAITEC;LCSC;C155142
9;FC-DA1608HRK-620D;LED1,LED2,LED3;LED-0603;3;FC-DA1608HRK-620D;NATIONSTAR;LCSC;C84263
10;micro USBFemale;USB;MICRO-USB-1;1;micro USBFemale;ValuePro;LCSC;C10418
11;100nF;C1,C19,C22,C5,C8,C9,C12,C3,C14,C17,C2,C10;0603';12;0603F104M500NT;FH;LCSC;C42998
12;1KΩ;R25,R2,R23;0603';3;RC0603FR-071KL;YAGEO;LCSC;C22548
13;10K;R1;0603';1;RC0603JR-0710KL;YAGEO;LCSC;C99198
14;20KΩ;R6,R14,R16,R3,R13,R12;0603';6;RS-03K203JT;FH;LCSC;C118368
15;240K;R5,R4,R9,R26;0603';4;RCT03240KFLF;HKR;LCSC;C177602
16;100K;R17,R15;0603';2;RC0603FR-07100KL;YAGEO;LCSC;C14675
17;100Ω;R18,R19,R21,R20,R22;0603';5;AC0603FR-07100RL;YAGEO;LCSC;C125923
18;6.2KΩ;R8,R7;0603';2;RC0603JR-076K2L;YAGEO;LCSC;C137614
19;8MHz;X1;HC-49S;1;X49SD8MSB2SC;YXC;LCSC;C114147
20;20pF;C15,C16;0603';2;0603CG200J500NT;FH;LCSC;C91702
21;1TS002E-2700-2500;SW1;KEY-TACT-SMD-6.1*3.7*2.5;1;1TS002E-2700-2500;HYP;LCSC;C319367
22;SS14F;D1;SMAF;1;SS14F;SK;LCSC;C110213
23;GND;P1;HDR-1X1/2.54;1;Header-Male-2.54_1x1;ReliaPro;LCSC;C81276
24;MT3608;U6;SOT-23-6;1;MT3608;AEROSEMI;LCSC;C84817
25;RB521S-30;D2,D3;SOD-523F;2;RB521S-30;SK;LCSC;C122862
26;BSS84;Q2;SOT-23(SOT-23-3);1;BSS84;SK;LCSC;C112238
27;BSS138;Q1;SOT-23(SOT-23-3);1;BSS138;SK;LCSC;C112239
28;AS358AMTR-E1;U3;SOIC-8_150MIL;1;AS358AMTR-E1;Diodes Incorporated;LCSC;C141322
